# LF noise: mean = 0.002058237853827891 +- 0.00025716106577061736
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Theta_deg,Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
47,LF,4.0,97.0,7.0,353,1.019830028328612,44.0,54.0,300.0,42.0,40505912.53,19,4.358898943540674,0.00016463472752952595,3.777290581891537e-05,0.005964094374055305,0.001373650846964966,0.0013386545420998996,50000,122595
48,LF,4.0,153.0,18.0,7,51.42857142857143,1.0,69.0,300.0,42.0,5915279.19,35,5.916079783099616,0.0003002127221574144,5.075282849848516e-05,0.010878850292199404,0.0018521900237136936,0.0017696263665336642,50000,123808
49,LF,4.0,203.0,20.0,67,5.373134328358209,44.0,84.0,300.0,42.0,40017130.44,37,6.082762530298219,0.00036071870765211117,5.931248490831798e-05,0.013060961376085051,0.0021637017106558424,0.0021355454304853062,50000,109016
50,LF,4.0,143.0,6.0,261,1.3793103448275863,21.0,108.0,300.0,42.0,51575357.98,34,5.830951894845301,0.0003029789964266301,5.196834008434075e-05,0.010970579489182003,0.0018946976750342963,0.0018812092791550305,50000,119265
51,LF,4.0,198.0,4.0,5,72.0,28.0,40.0,300.0,42.0,1265516.37,67,8.18535277187245,0.0005630961885952011,6.881251433385821e-05,0.020428239271041652,0.002530209704114279,0.0024856323348318122,50000,126214
52,LF,4.0,221.0,13.0,250,1.44,43.0,123.0,300.0,42.0,124397547.23,37,6.082762530298219,0.0003697079307347196,6.0790843725102526e-05,0.013486017857314719,0.0022341294619254663,0.002197695149226572,50000,105580
53,LF,4.0,234.0,6.0,282,1.2765957446808511,45.0,103.0,300.0,42.0,54454268.84,49,7.0,0.000471090430134405,6.731448288082159e-05,0.01722773197660454,0.002486106463495655,0.0024757182438798443,50000,109454
54,LF,4.0,147.0,11.0,82,4.390243902439025,25.0,42.0,300.0,42.0,13090587.82,34,5.830951894845301,0.00029711968680089484,5.0963175298960074e-05,0.01076753429874164,0.001859625478392399,0.0018250163424751071,50000,121514
55,LF,4.0,245.0,18.0,22,16.363636363636363,30.0,75.0,300.0,42.0,16732829.6,43,6.557438524302,0.00039104773510608305,5.964587930924551e-05,0.014293541194717764,0.0021991655771221377,0.0021585475039536564,50000,115769
56,LF,4.0,120.0,18.0,143,2.5174825174825175,4.0,65.0,300.0,42.0,52346825.66,26,5.0990195135927845,0.0002269671945108857,4.451698007786248e-05,0.008212504836025303,0.001619287751905445,0.0016101307847683681,50000,121832
57,LF,4.0,163.0,11.0,125,2.88,14.0,53.0,300.0,42.0,23955026.9,38,6.164414002968976,0.0003335820567967344,5.412318032032326e-05,0.012088421092623132,0.0019764354521755135,0.0019881492723207678,50000,120970
58,LF,4.0,149.0,8.0,307,1.1726384364820848,1.0,63.0,300.0,42.0,47657393.88,41,6.4031242374328485,0.0003520552297375042,5.499146708227633e-05,0.012765551770452492,0.0020105622437823463,0.0020330869221815333,50000,123597
59,LF,4.0,133.0,5.0,287,1.254355400696864,8.0,8.0,300.0,42.0,4042284.9,53,7.280109889280518,0.0004470197279083694,6.141660453806914e-05,0.016225472248369968,0.0022531506042099718,0.0022257380589472196,50000,125702
60,LF,4.0,194.0,5.0,147,2.4489795918367347,1.0,143.0,300.0,42.0,32775602.11,50,7.0710678118654755,0.0004387812412243752,6.20666505869599e-05,0.015921479424800832,0.0022749275869383746,0.0022484520131017694,50000,120851
61,LF,4.0,197.0,10.0,133,2.706766917293233,6.0,101.0,300.0,42.0,42991282.07,38,6.164414002968976,0.00033867187151858687,5.494913479511514e-05,0.012277500898978399,0.0020073545205650375,0.00202811677884585,50000,119107
62,LF,4.0,242.0,9.0,150,2.4,35.0,119.0,300.0,42.0,51757622.62,39,6.244997998398398,0.0003687978136909096,5.906580169124938e-05,0.013493417310466547,0.0021781582110101875,0.0021488390477503168,50000,111226
63,LF,4.0,152.0,2.0,289,1.245674740484429,41.0,5.0,300.0,42.0,1165024.05,69,8.306623862918075,0.0005808031918923241,6.994078980467213e-05,0.021076946997991088,0.002573486300183248,0.0025161032822847845,50000,125981
64,LF,4.0,169.0,17.0,49,7.346938775510204,38.0,64.0,300.0,42.0,19688942.34,30,5.477225575051661,0.0002749342448930964,5.020279573068749e-05,0.009934736812040372,0.0018251156336371213,0.0018184819937823212,50000,116206
65,LF,4.0,117.0,15.0,239,1.506276150627615,45.0,25.0,300.0,42.0,28529673.31,31,5.5677643628300215,0.00026936612069340053,4.8386098934545696e-05,0.009756117700480016,0.00176350720608744,0.0017298873538640716,50000,122278
66,LF,4.0,142.0,16.0,216,1.6666666666666667,3.0,89.0,300.0,42.0,94784855.01,34,5.830951894845301,0.0002988853335208692,5.126607144013766e-05,0.010821054500155415,0.0018688700580306583,0.0018623418428117833,50000,120913
67,LF,4.0,196.0,3.0,12,30.0,10.0,125.0,300.0,42.0,2096461.26,47,6.855654600401044,0.0003978196099674973,5.803949520691063e-05,0.014450589290514043,0.0021283221426080232,0.0021346683773211333,50000,125163
68,LF,4.0,228.0,16.0,356,1.0112359550561798,20.0,42.0,300.0,42.0,77754811.53,45,6.708203932499369,0.0004120124519318806,6.143184143893569e-05,0.014993714405433477,0.002255968427965055,0.002213143542692706,50000,115496
69,LF,4.0,166.0,6.0,7,51.42857142857143,39.0,85.0,300.0,42.0,2186290.52,48,6.928203230275509,0.0004064283416030211,5.867479802480584e-05,0.014735091829543717,0.0021479359945290872,0.002115632806759142,50000,125358
70,LF,4.0,199.0,13.0,325,1.1076923076923078,34.0,11.0,300.0,42.0,17613589.25,32,5.656854249492381,0.0002845810433452502,5.0314454128885883e-05,0.01030149819624082,0.0018331451819647362,0.0018611127473330612,50000,119540
71,LF,4.0,202.0,14.0,76,4.7368421052631575,34.0,28.0,300.0,42.0,13041676.11,38,6.164414002968976,0.00033994435647638726,5.5155629145873036e-05,0.012316692773184255,0.0020137633476075053,0.0019809354723347955,50000,118728
72,LF,4.0,168.0,6.0,69,5.217391304347826,7.0,77.0,300.0,42.0,10704778.31,47,6.855654600401044,0.0004063810470796766,5.928881123128828e-05,0.01472937690252463,0.0021693904488043433,0.002155908727203743,50000,122794
73,LF,4.0,211.0,16.0,254,1.4173228346456692,35.0,87.0,300.0,42.0,111250660.09,37,6.082762530298219,0.00035682942589038586,5.867286155822179e-05,0.012941066342276262,0.0021438364006834756,0.002157715540372508,50000,110026
74,LF,4.0,192.0,7.0,342,1.0526315789473684,3.0,105.0,300.0,42.0,77152742.95,40,6.324555320336759,0.0003518648838845883,5.564451017713014e-05,0.012748576463838769,0.0020324244763130013,0.002005589479302733,50000,120743
75,LF,4.0,127.0,3.0,173,2.0809248554913293,34.0,133.0,300.0,42.0,21026657.5,37,6.082762530298219,0.0003363789263148325,5.530965499198603e-05,0.012158986237545476,0.0020142556837431554,0.0019631001326278165,50000,117103
76,LF,4.0,187.0,20.0,309,1.1650485436893203,43.0,74.0,300.0,42.0,142580564.14,37,6.082762530298219,0.00035579659973844144,5.850300549248928e-05,0.01284996990573875,0.0021287427474497218,0.002135332554197304,50000,110806
77,LF,4.0,254.0,10.0,63,5.714285714285714,36.0,19.0,300.0,42.0,7970128.83,46,6.782329983125268,0.0004023194591427097,5.933069940258919e-05,0.014667179600544174,0.002183146066608897,0.002140365693243662,50000,120691
78,LF,4.0,173.0,18.0,10,36.0,31.0,106.0,300.0,42.0,9849903.9,37,6.082762530298219,0.00032807235325412306,5.3943609164597964e-05,0.011882677927789362,0.0019684755342665367,0.0019681940869553903,50000,119826
79,LF,4.0,237.0,12.0,275,1.309090909090909,27.0,41.0,300.0,42.0,45264765.27,41,6.4031242374328485,0.00037293747384889664,5.8253907735472014e-05,0.013583552027245007,0.002139418861796546,0.002080752662676774,50000,116154
80,LF,4.0,162.0,17.0,348,1.0344827586206897,34.0,135.0,300.0,42.0,243020432.19,25,5.0,0.0002433326844461748,4.8672457608612716e-05,0.008780193434301671,0.0017651626644914333,0.001744968985006163,50000,109572
81,LF,4.0,151.0,2.0,138,2.608695652173913,1.0,109.0,300.0,42.0,9319366.17,57,7.54983443527075,0.0004870546013842604,6.452766642956865e-05,0.017663484127150495,0.0023671393545426026,0.0023384975041488504,50000,124183
82,LF,4.0,96.0,4.0,197,1.8274111675126903,21.0,89.0,300.0,42.0,21290927.41,27,5.196152422706632,0.00023232401455897158,4.471597084031444e-05,0.008414752734371315,0.0016284829657641328,0.0016267726940508976,50000,123477
83,LF,4.0,144.0,13.0,332,1.0843373493975903,12.0,122.0,300.0,42.0,159978965.05,34,5.830951894845301,0.0003047741981749404,5.2276308189436074e-05,0.011034418408410641,0.001905724672412205,0.0019231901297464922,50000,118575
84,LF,4.0,174.0,1.0,311,1.157556270096463,2.0,105.0,300.0,42.0,9988922.55,56,7.483314773547883,0.00047792172324918495,6.388023605311587e-05,0.01734465955043259,0.0023445980971347627,0.002288941224057819,50000,124247
85,LF,4.0,220.0,14.0,107,3.364485981308411,8.0,74.0,300.0,42.0,38072189.33,43,6.557438524302,0.00038836354440440385,5.923638456779229e-05,0.01408332953667992,0.0021668171660426784,0.002116056394835146,50000,117497
86,LF,4.0,210.0,19.0,280,1.2857142857142858,4.0,111.0,300.0,42.0,183416433.89,37,6.082762530298219,0.0003387813029345786,5.570473658521071e-05,0.012288054726944915,0.0020356405106611223,0.0020287851905019397,50000,115873
87,LF,4.0,205.0,13.0,321,1.1214953271028036,0.0,71.0,300.0,42.0,92766727.28,36,6.0,0.00031953986259785906,5.326515189700816e-05,0.011586471557406296,0.0019454840371723077,0.0019464706170448758,50000,119568
88,LF,4.0,137.0,3.0,360,1.0,26.0,56.0,300.0,42.0,18513451.3,42,6.48074069840786,0.0003640555791517505,5.618521991526812e-05,0.013189597248039014,0.002052892047988987,0.0020474558050998406,50000,122541
89,LF,4.0,145.0,18.0,92,3.9130434782608696,29.0,124.0,300.0,42.0,64608083.11,33,5.744562646538029,0.0003097253768325418,5.392461656073023e-05,0.01118579783826266,0.0019605309858276216,0.0019443418609000386,50000,113530
90,LF,4.0,253.0,10.0,30,12.0,5.0,120.0,300.0,42.0,15146016.45,47,6.855654600401044,0.0004181420259425989,6.100503344470345e-05,0.015276264019397363,0.0022499534396435874,0.002243073845490543,50000,118398
91,LF,4.0,109.0,17.0,321,1.1214953271028036,16.0,99.0,300.0,42.0,163768681.45,33,5.744562646538029,0.0002911208151382824,5.068500521873413e-05,0.010535725130277177,0.0018465775776355946,0.0018198258721745823,50000,120535
92,LF,4.0,105.0,16.0,143,2.5174825174825175,16.0,52.0,300.0,42.0,37164673.86,29,5.385164807134504,0.00025062006861804637,4.654480983161776e-05,0.009077102888915714,0.0016957065010224303,0.0016509313745725065,50000,122946
93,LF,4.0,135.0,15.0,346,1.0404624277456647,9.0,62.0,300.0,42.0,98654575.04,44,6.6332495807108,0.0003838101884159107,5.7872665849413025e-05,0.013910644787060784,0.002116206571784899,0.0020833655235543234,50000,121722
94,LF,4.0,163.0,9.0,316,1.139240506329114,43.0,39.0,300.0,42.0,34947735.79,37,6.082762530298219,0.00032769172179858473,5.388101322393495e-05,0.011884165605622924,0.0019687220193404303,0.0019285301786996177,50000,119811
95,LF,4.0,225.0,8.0,51,7.0588235294117645,1.0,49.0,300.0,42.0,8726462.78,55,7.416198487095663,0.0004808701126110373,6.485610081561198e-05,0.01745642680613348,0.002380590791131399,0.0023462578021532384,50000,121247
96,LF,4.0,217.0,11.0,257,1.4007782101167314,9.0,129.0,300.0,42.0,112997776.16,40,6.324555320336759,0.0003653868990527345,5.778329514708847e-05,0.013258181323089046,0.0021136813044633973,0.002105900340893222,50000,116102
97,LF,4.0,252.0,14.0,319,1.128526645768025,9.0,107.0,300.0,42.0,149582622.83,45,6.708203932499369,0.0004081188442074332,6.085117869329456e-05,0.01491031701684098,0.002243417991910325,0.0022187643222905023,50000,116142
98,LF,4.0,150.0,9.0,59,6.101694915254237,35.0,141.0,300.0,42.0,23890906.87,32,5.656854249492381,0.00029936478534609376,5.2928638148527347e-05,0.010823572119980203,0.0019260608044380386,0.0019432894787461386,50000,113774
99,LF,4.0,100.0,6.0,17,21.176470588235293,6.0,17.0,300.0,42.0,943787.22,77,8.774964387392123,0.000644346072417804,7.34537032247206e-05,0.023346268837148583,0.002702778805883245,0.002673186208529007,50000,126922
100,LF,4.0,205.0,16.0,43,8.372093023255815,13.0,106.0,300.0,42.0,26788432.86,36,6.0,0.0003315802562378536,5.527253740246734e-05,0.01201348645637243,0.002017195120555972,0.0019663080478764835,50000,115318
101,LF,4.0,250.0,16.0,191,1.8848167539267016,41.0,147.0,300.0,42.0,141882768.95,34,5.830951894845301,0.00032839136523880814,5.6327901032337085e-05,0.012017728571613638,0.002075575668591703,0.0020740056640828775,50000,108873
102,LF,4.0,233.0,1.0,72,5.0,37.0,31.0,300.0,42.0,1013642.09,76,8.717797887081348,0.0006382585619026823,7.32366389629023e-05,0.023175819954429574,0.002700100811899582,0.0026587958465860836,50000,126195
103,LF,4.0,155.0,10.0,349,1.0315186246418337,16.0,78.0,300.0,42.0,83376597.2,32,5.656854249492381,0.000283088137722379,5.005046830740782e-05,0.010253806074961926,0.0018246572829010096,0.0018316538003869001,50000,120096
104,LF,4.0,129.0,7.0,34,10.588235294117647,31.0,47.0,300.0,42.0,4169296.57,41,6.4031242374328485,0.0003512529449560934,5.4866127194874777e-05,0.012733408405948046,0.0020054988709593455,0.0019709069169955096,50000,123909
105,LF,4.0,154.0,15.0,25,14.4,31.0,7.0,300.0,42.0,3479310.83,42,6.48074069840786,0.00035618878005342833,5.497090937718659e-05,0.0129064868071449,0.0020088201213363465,0.0019749974026857624,50000,125229
